date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2005-01-04,sh.000300,994.77,994.77,980.66,982.794,741286894,4431977400.0,3,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-05,sh.000300,981.58,997.32,979.88,992.564,711910898,4529208200.0,3,0.0,1,0.994107,0.0,0.0,0.0,0.0,0.0
2005-01-06,sh.000300,993.33,993.79,980.33,983.174,628802905,3921015400.0,3,0.0,1,-0.9460360000000001,0.0,0.0,0.0,0.0,0.0
2005-01-07,sh.000300,983.05,995.71,979.81,983.958,729869409,4737469400.0,3,0.0,1,0.07974099999999999,0.0,0.0,0.0,0.0,0.0
2005-01-10,sh.000300,983.76,993.96,979.79,993.879,579169799,3762932900.0,3,0.0,1,1.008277,0.0,0.0,0.0,0.0,0.0
2005-01-11,sh.000300,994.19,999.55,991.09,997.135,584907998,3704076700.0,3,0.0,1,0.32760300000000003,0.0,0.0,0.0,0.0,0.0
2005-01-12,sh.000300,996.65,996.98,989.26,996.748,501452509,3093299700.0,3,0.0,1,-0.038814,0.0,0.0,0.0,0.0,0.0
2005-01-13,sh.000300,996.08,999.47,992.7,996.877,604406584,3842173300.0,3,0.0,1,0.012944999999999998,0.0,0.0,0.0,0.0,0.0
2005-01-14,sh.000300,996.62,1006.46,987.23,988.306,729784238,4162921200.0,3,0.0,1,-0.859784,0.0,0.0,0.0,0.0,0.0
2005-01-17,sh.000300,979.11,981.53,965.08,967.452,728818876,4249807800.0,3,0.0,1,-2.110075,0.0,0.0,0.0,0.0,0.0
2005-01-18,sh.000300,967.37,974.87,960.29,974.689,731184782,4117944100.0,3,0.0,1,0.748047,0.0,0.0,0.0,0.0,0.0
2005-01-19,sh.000300,974.33,974.33,965.26,967.21,633809119,3427951300.0,3,0.0,1,-0.7673220000000001,0.0,0.0,0.0,0.0,0.0
2005-01-20,sh.000300,963.21,963.21,952.23,956.245,772710670,4399350600.0,3,0.0,1,-1.1336760000000001,0.0,0.0,0.0,0.0,0.0
2005-01-21,sh.000300,954.46,984.27,943.44,982.604,1445005985,8152086100.0,3,0.0,1,2.756512,0.0,0.0,0.0,0.0,0.0
2005-01-24,sh.000300,1001.85,1001.85,986.24,998.133,1435946161,8360161500.0,3,0.0,1,1.580392,0.0,0.0,0.0,0.0,0.0
2005-01-25,sh.000300,995.64,997.95,985.24,997.775,986252911,6157022400.0,3,0.0,1,-0.035864,0.0,0.0,0.0,0.0,0.0
2005-01-26,sh.000300,995.78,999.47,988.48,989.928,766329017,4719440400.0,3,0.0,1,-0.786454,0.0,0.0,0.0,0.0,0.0
2005-01-27,sh.000300,987.34,987.7,973.77,974.631,694536497,4094398900.0,3,0.0,1,-1.545264,0.0,0.0,0.0,0.0,0.0
2005-01-28,sh.000300,974.63,975.62,965.21,969.209,574880738,3280950300.0,3,0.0,1,-0.5563130000000001,0.0,0.0,0.0,0.0,0.0
2005-01-31,sh.000300,965.79,965.79,953.14,954.879,678870643,3863573600.0,3,0.0,1,-1.478521,0.0,0.0,0.0,0.0,0.0
2005-02-01,sh.000300,953.33,965.48,952.74,955.951,743306676,4275706800.0,3,0.0,1,0.11226099999999999,0.0,0.0,0.0,0.0,0.0
2005-02-02,sh.000300,956.7,1006.93,956.7,1006.913,1705733857,10202904300.0,3,0.0,1,5.33103,0.0,0.0,0.0,0.0,0.0
2005-02-03,sh.000300,1005.56,1014.19,992.16,993.215,1697453933,10057310300.0,3,0.0,1,-1.360395,0.0,0.0,0.0,0.0,0.0
2005-02-04,sh.000300,992.25,1021.03,989.94,1016.858,1573621461,9549870600.0,3,0.0,1,2.380446,0.0,0.0,0.0,0.0,0.0
2005-02-16,sh.000300,1023.32,1033.25,1018.49,1023.584,1213129305,7438168200.0,3,0.0,1,0.661451,0.0,0.0,0.0,0.0,0.0
2005-02-17,sh.000300,1024.43,1024.43,1010.48,1020.606,896829766,5513063300.0,3,0.0,1,-0.290935,0.0,0.0,0.0,0.0,0.0
2005-02-18,sh.000300,1020.12,1021.2,1005.63,1006.055,813993936,4817732100.0,3,0.0,1,-1.425724,0.0,0.0,0.0,0.0,0.0
2005-02-21,sh.000300,1006.69,1025.66,1006.69,1025.633,988609416,6052394900.0,3,0.0,1,1.946023,0.0,0.0,0.0,0.0,0.0
